"id", "faculty_name","sex","DOB","Address", "Phone_no."
"GS", "Prof.Gowthaman S" ,"M","May-19-1970","IIIT","9999999999" 
"HSN", "Prof.Himanshu Sekhar Nanda","M","Feb-19-1970","IIIT","9999999999" 
"JKT", "Prof.Jitendar Kumar Tiwari","M","Jan-19-1970","IIIT","9999999999" 
"SP", "Prof.Shivdayal Patel " ,"M", "Feb-15-1970","IIIT" ,"9999999999"
"TC", "Prof.Tushar Choudhary" ,"Munesh", "Feb-23-1970","IIIT","9999999999" 
"RP", "Prof.Rabindra Prasad" ,"M","Sept-09-1970","IIIT","9999999999" 
"SYC", "Prof.Syamkumar Chokkha" , "M","Nov-29-1970","IIIT","9999999999" 
"PK", "Prof.Parikshit Kundu" ,"M","Oct-12-1970","IIIT","9999999999" 
"POK", "Prof.Ponappa k" ,"M", "Feb-27-1970","IIIT","9999999999" 
"MKT", "Manish Kumar Thakur" , "M", "March-22-1970","IIIT","9999999999" 
"VKG", "Prof.VK Gupta" , "M", "Jan-11-1970","IIIT","9999999999" 
